"TC No.","System Name","Module / Feature","BRD Reference","Pre-Requisites","Test Scenario / Objective","Test Type","Steps Description","Expected Result","Post Conditions","Data Required (if applicable)"
"CHLI_INSURE_TC_011","Insure UI","BI Calculator","BRD-SA-01","User is on the BI Calculator screen.","Verify validation for Sum Assured below the minimum limit.","Negative","1. Enter all valid data.
2. Enter Sum Assured less than the minimum (e.g., 1,99,000).
3. Click 'Calculate'.","An error message should be displayed, such as 'Minimum Sum Assured is 2,00,000.' The BI should not be generated.","None","SA: 199000"
"CHLI_INSURE_TC_012","Insure UI","BI Calculator","BRD-SA-02","User is on the BI Calculator screen.","Verify validation for Sum Assured above the maximum limit.","Negative","1. Enter all valid data.
2. Enter Sum Assured more than the maximum (e.g., 1,00,00,001).
3. Click 'Calculate'.","An error message should be displayed, such as 'Maximum Sum Assured is 1,00,00,000.' The BI should not be generated.","None","SA: 10000001"
"CHLI_INSURE_TC_013","Insure UI","BI Calculator","BRD-TERM-01","User is on the BI Calculator screen.","Verify validation for an invalid PT and PPT combination (PPT > PT).","Negative","1. Enter all valid data.
2. Select Policy Term (PT) = 10 years.
3. Select Premium Payment Term (PPT) = 12 years.
4. Click 'Calculate'.","An error message should be displayed, such as 'Premium Payment Term cannot be greater than Policy Term.' The BI should not be generated.","None","PT: 10, PPT: 12"
"CHLI_INSURE_TC_014","Insure UI","BI Calculator","BRD-AGE-03","User is on the BI Calculator screen.","Verify validation for Maturity Age exceeding the maximum limit.","Negative","1. Enter DOB for age 60.
2. Select Policy Term (PT) = 20 years (Maturity Age = 80).
3. Fill other valid data.
4. Click 'Calculate'.","An error message should be displayed, such as 'Maximum maturity age of 75 years exceeded.' The BI should not be generated.","None","Age: 60, PT: 20"
"CHLI_INSURE_TC_015","Insure UI","BI Calculator","BRD-VALID-01","User is on the BI Calculator screen.","Verify validation for non-numeric input in numeric fields.","Negative","1. Enter 'ABC' in the Sum Assured field.
2. Try to click 'Calculate'.","The system should not accept non-numeric characters. An inline validation message 'Please enter a valid number' should appear. The 'Calculate' button should remain disabled.","None","SA: 'ABC'"
### Insure UI - Boundary/Edge Case Test Cases ###,,,,,,,,,,
"CHLI_INSURE_TC_016","Insure UI","BI Calculator","BRD-AGE-04","User is on the BI Calculator screen.","Verify BI generation at minimum entry age (18).","Boundary","1. Enter DOB for exact age 18.
2. Fill all other fields with valid boundary values (e.g., min PT, min SA).
3. Click 'Calculate'.","The BI should be generated successfully without any errors.","None","Age: 18, PT: 10, SA: 200000"
"CHLI_INSURE_TC_017","Insure UI","BI Calculator","BRD-AGE-05","User is on the BI Calculator screen.","Verify BI generation at maximum entry age (60).","Boundary","1. Enter DOB for exact age 60.
2. Fill all other fields with valid values (e.g., PT=15 to keep maturity age at 75).
3. Click 'Calculate'.","The BI should be generated successfully without any errors.","None","Age: 60, PT: 15, SA: 500000"
"CHLI_INSURE_TC_018","Insure UI","BI Calculator","BRD-SA-03","User is on the BI Calculator screen.","Verify BI generation at minimum Sum Assured (2,00,000).","Boundary","1. Enter valid age/term details.
2. Enter Sum Assured = 2,00,000.
3. Click 'Calculate'.","The BI should be generated successfully. The calculated premium should meet the minimum premium criteria.","None","Age: 35, SA: 200000"
"CHLI_INSURE_TC_019","Insure UI","BI Calculator","BRD-SA-04","User is on the BI Calculator screen.","Verify BI generation at maximum Sum Assured (1,00,00,000).","Boundary","1. Enter valid age/term details.
2. Enter Sum Assured = 1,00,00,000.
3. Click 'Calculate'.","The BI should be generated successfully. This case may trigger underwriting rules, but the BI itself should be generated.","None","Age: 40, SA: 10000000"
"CHLI_INSURE_TC_020","Insure UI","BI Calculator","BRD-TERM-02","User is on the BI Calculator screen.","Verify BI generation for a case where PPT equals PT.","Boundary","1. Enter valid age/SA details.
2. Select PT = 15 and PPT = 15 (Regular Pay).
3. Click 'Calculate'.","The BI should be generated successfully. The premium calculation should use the rates for Regular Pay.","None","Age: 30, SA: 1000000, PT: 15, PPT: 15"
### Insure UI - Data Validation / Rule Based Test Cases ###,,,,,,,,,,
"CHLI_INSURE_TC_021","Insure UI","BI Calculator","BRD-CALC-01","User is on the BI Calculator screen.","Validate the arithmetic for Modal Premium calculation (Half-Yearly).","Data","1. Enter inputs for a standard case with Mode=Yearly. Note the Annual Premium (AP).
2. Change the mode to Half-Yearly and recalculate. Note the Half-Yearly Premium (HYP).
3. Manually calculate the expected HYP = AP * 0.51 (assuming 51% loading factor).","The system-calculated HYP must exactly match the manually calculated value.","None","Standard data. Assumed loading factor: 51% for HLY."
"CHLI_INSURE_TC_022","Insure UI","BI Calculator","BRD-CALC-02","User is on the BI Calculator screen.","Validate the arithmetic for Modal Premium calculation (Quarterly).","Data","1. Enter inputs for a standard case with Mode=Yearly. Note the Annual Premium (AP).
2. Change the mode to Quarterly and recalculate. Note the Quarterly Premium (QP).
3. Manually calculate the expected QP = AP * 0.26 (assuming 26% loading factor).","The system-calculated QP must exactly match the manually calculated value.","None","Standard data. Assumed loading factor: 26% for QLY."
"CHLI_INSURE_TC_023","Insure UI","BI Calculator","BRD-CALC-03","User is on the BI Calculator screen.","Validate the arithmetic for GST calculation for the 1st policy year.","Data","1. Generate a BI for a standard case.
2. Note the Base Premium for Year 1.
3. Note the Total Premium (including GST) for Year 1.
4. Manually calculate Expected GST = Base Premium * 4.5%.
5. Manually calculate Expected Total Premium = Base Premium + Expected GST.","The system-displayed Total Premium for Year 1 must match the manually calculated value.","None","Standard data. Assumed GST: 4.5% for 1st year."
"CHLI_INSURE_TC_024","Insure UI","BI Calculator","BRD-CALC-04","User is on the BI Calculator screen.","Validate the arithmetic for GST calculation for subsequent policy years (Year 2 onwards).","Data","1. Generate a BI for a standard case.
2. Note the Base Premium for Year 2.
3. Note the Total Premium (including GST) for Year 2.
4. Manually calculate Expected GST = Base Premium * 2.25%.
5. Manually calculate Expected Total Premium = Base Premium + Expected GST.","The system-displayed Total Premium for Year 2 must match the manually calculated value.","None","Standard data. Assumed GST: 2.25% for 2nd year onwards."
"CHLI_INSURE_TC_025","Insure UI","BI Calculator","BRD-CALC-05","User is on the BI Calculator screen.","Validate the arithmetic for Staff Discount calculation.","Data","1. Generate a BI without staff discount. Note the Base Premium (BP).
2. Enable Staff Discount and recalculate. Note the new Discounted Base Premium (DBP).
3. Manually calculate Expected DBP = BP * (1 - 0.02) (assuming 2% discount).","The system-displayed Discounted Base Premium (DBP) must match the manually calculated value.","None","Standard data. Assumed discount: 2%."
"CHLI_INSURE_TC_026","Insure UI","BI Calculator","BRD-CALC-06","User is on the BI Calculator screen.","Validate the calculation of Maturity Benefit.","Data","1. Generate a BI for a standard case (e.g., SA=10L, PT=20).
2. From the BI table, find the Guaranteed Additions (GA) per year.
3. Manually calculate Total GAs = GA per year * PT.
4. Manually calculate Expected Maturity Benefit = Sum Assured + Total GAs.","The Maturity Benefit value displayed in the BI summary must match the manually calculated value.","None","SA=10L, PT=20. GA rate from product specs."
### Insure UI - Integration Test Cases ###,,,,,,,,,,
"CHLI_INSURE_TC_027","Insure UI","BI Calculator","BRD-INT-01","User is on the BI Calculator screen. A network proxy tool (e.g., Fiddler, Charles) is running.","Verify the request payload sent to the backend premium calculation engine.","Integration","1. Start the network proxy tool to capture traffic.
2. In Insure UI, fill all data for a standard BI calculation.
3. Click 'Calculate'.
4. In the proxy tool, inspect the API request sent from the UI.","The API request payload (JSON/XML) must contain all the correct input parameters:
- age
- gender
- policyTerm
- premiumPaymentTerm
- sumAssured
- paymentMode
- isStaff
- planId
All values must match the UI input.","None","Standard data, proxy tool."
"CHLI_INSURE_TC_028","Insure UI","BI Calculator","BRD-INT-02","User is on the BI Calculator screen. A network proxy tool is running.","Verify the response received from the backend premium calculation engine.","Integration","1. Follow steps from TC_027.
2. In the proxy tool, inspect the API response received by the UI.","The API response payload should be a well-formed JSON/XML containing:
- Calculated premium amount.
- Modal premiums.
- GST amounts.
- A year-wise array/list of illustration values (premium, benefits, etc.).
- A success status code (e.g., 200 OK).","None","Standard data, proxy tool."
"CHLI_INSURE_TC_029","Insure UI","BI Calculator","BRD-INT-03","User is on the BI Calculator screen.","Verify the handling of a backend API error during calculation.","Exception Handling","1. Use a proxy/mocking tool to simulate an API error response (e.g., HTTP 500 Internal Server Error) when the 'Calculate' button is clicked.
2. Click 'Calculate' in the UI.","The UI should not crash. It should gracefully handle the error and display a user-friendly message, such as 'Unable to calculate premium at the moment. Please try again later.'","None","Proxy/mocking tool."
### End-to-End (E2E) Scenarios ###,,,,,,,,,,
"CHLI_E2E_TC_001","All Systems","New Business Flow","BRD-E2E-01","User is logged into Insure.","Verify that data from the generated BI is correctly passed to the Proposal stage and a case is created in downstream systems.","E2E","1. In Insure, generate a valid BI for a customer.
2. Click 'Proceed to Proposal'.
3. Verify the Proposal screen opens.
4. Fill in the remaining mandatory proposal and KYC details.
5. Submit the proposal.
6. Login to Unified/UW Workbench and search for the proposal number.
7. Login to CRM and search for the customer/proposal.","1. The Proposal screen in Insure should have customer details (Name, DOB), and policy details (SA, Premium, PT, PPT, Mode) pre-populated from the BI.
2. A proposal number should be successfully generated.
3. The case should be searchable and visible in the Underwriter's queue in the UW system.
4. A lead/opportunity record should be created/updated in CRM with the proposal details.","A new business case is successfully initiated across integrated systems.","User credentials for Insure, UW system, CRM."
"CHLI_E2E_TC_002","All Systems","New Business Flow","BRD-E2E-02","A BI has been generated in Insure.","Verify that if a user goes back from the proposal stage and modifies the BI, the updated data is carried forward.","E2E","1. In Insure, generate a BI (e.g., SA=5L).
2. Click 'Proceed to Proposal'. Note the pre-filled SA is 5L.
3. Click the 'Back' or 'Edit BI' button to return to the BI calculator.
4. Change the Sum Assured to 7L and recalculate the BI.
5. Click 'Proceed to Proposal' again.","The Proposal screen should now show the updated Sum Assured of 7L and the corresponding new premium. The old data (SA=5L) should not be retained.","None","Standard customer data."
