TC No.,System Name,Module / Feature,BRD Reference,Pre-Requisites,Test Scenario / Objective,Test Type,Steps Description,Expected Result,Post Conditions,Data Required (if applicable)
"2.4","nVEST","UW BI Calculation Engine","BRD_nVEST_UW_BI_CALC_v1.2","Proposal data received by nVEST.","To verify the 'Age Factor' for Age > 50.","Data","1. Process a proposal where the Life Assured's age is greater than 50. 2. Verify the Age Factor used in the calculation is 1.5.","The final UW BI calculation must use 1.5 as the Age Factor. Example: (5000000/100000) * 1.5 = 75.00","UW BI score is calculated.","Age=51, SA=5000000, Smoker=No, Medical=No, Income=6L, Staff=No"
"2.5","nVEST","UW BI Calculation Engine","BRD_nVEST_UW_BI_CALC_v1.2","Proposal data received by nVEST.","To verify the 'Smoker Factor' for a Smoker.","Data","1. Process a proposal where Smoker='Yes'. 2. Verify the Smoker Factor used is 1.4.","The final UW BI calculation must include the 1.4 multiplier. Example: (50L/1L) * 1.3 * 1.4 = 91.00","UW BI score is calculated.","Age=40, SA=5000000, Smoker=Yes, Medical=No, Income=6L, Staff=No"
"2.6","nVEST","UW BI Calculation Engine","BRD_nVEST_UW_BI_CALC_v1.2","Proposal data received by nVEST.","To verify the 'Medical Loading Factor' for pre-existing conditions.","Data","1. Process a proposal where Pre-existing Condition='Yes'. 2. Verify the Medical Loading Factor used is 1.2.","The final UW BI calculation must include the 1.2 multiplier. Example: (50L/1L) * 1.3 * 1.2 = 78.00","UW BI score is calculated.","Age=40, SA=5000000, Smoker=No, Medical=Yes, Income=6L, Staff=No"
"2.7","nVEST","UW BI Calculation Engine","BRD_nVEST_UW_BI_CALC_v1.2","Proposal data received by nVEST.","To verify the 'Financial Loading Factor' for Annual Income < 5 Lakhs.","Boundary / Edge Case","1. Process a proposal where Annual Income is just below 5 Lakhs. 2. Verify the Financial Loading Factor used is 1.15.","The final UW BI calculation must include the 1.15 multiplier. Example: (50L/1L) * 1.3 * 1.15 = 74.75","UW BI score is calculated.","Age=40, SA=5000000, Smoker=No, Medical=No, Income=499999, Staff=No"
"2.8","nVEST","UW BI Calculation Engine","BRD_nVEST_UW_BI_CALC_v1.2","Proposal data received by nVEST.","To verify the 'Financial Loading Factor' for Annual Income >= 5 Lakhs.","Boundary / Edge Case","1. Process a proposal where Annual Income is exactly 5 Lakhs. 2. Verify the Financial Loading Factor used is 1.0 (default).","The final UW BI calculation must use the 1.0 multiplier (no change). Example: (50L/1L) * 1.3 * 1.0 = 65.00","UW BI score is calculated.","Age=40, SA=5000000, Smoker=No, Medical=No, Income=500000, Staff=No"
"2.9","nVEST","UW BI Calculation Engine","BRD_nVEST_UW_BI_CALC_v1.2","Proposal data received by nVEST.","To verify the 'Staff Discount Factor' for a staff member.","Data","1. Process a proposal where Is Staff='Yes'. 2. Verify the Staff Discount Factor used is 0.9.","The final UW BI calculation must include the 0.9 multiplier. Example: (50L/1L) * 1.3 * 0.9 = 58.50","UW BI score is calculated.","Age=40, SA=5000000, Smoker=No, Medical=No, Income=6L, Staff=Yes"
"2.10","nVEST","UW BI Calculation Engine","BRD_nVEST_UW_BI_CALC_v1.2","Proposal data received by nVEST.","To verify calculation with multiple non-default factors.","Functional / Data","1. Process a proposal with multiple risk factors. 2. Verify all factors are applied correctly in the calculation.","The calculation must be: (SA/100k) * Age Factor * Smoker Factor * Medical Factor * Financial Factor * Staff Factor. Example: (1Cr/1L) * 1.5 * 1.4 * 1.2 * 1.15 * 0.9 = 100 * 1.5 * 1.4 * 1.2 * 1.15 * 0.9 = 261.828, which should be rounded to 261.83.","UW BI score is calculated.","Age=55, SA=10000000, Smoker=Yes, Medical=Yes, Income=4L, Staff=Yes"
"2.11","nVEST","UW BI Calculation Engine","BRD_nVEST_UW_BI_CALC_v1.2","Proposal data received by nVEST.","To verify the calculation rounding to 2 decimal places.","Data","1. Process a proposal where the calculation results in more than 2 decimal places. 2. Check the stored/logged value.","The final UW BI score must be rounded to two decimal places. E.g., a raw value of 74.748 should be stored as 74.75.","UW BI score is calculated and rounded.","Age=40, SA=5000000, Smoker=No, Medical=No, Income=499999, Staff=No (Result is 74.75)"
"2.12","nVEST","UW BI Calculation Engine","BRD_nVEST_UW_BI_CALC_v1.2","A proposal data payload is prepared.","To verify exception handling when a mandatory data point is missing (e.g., Age).","Negative / Exception Handling","1. Simulate an API call to nVEST where the 'Age' field is null or missing from the payload. 2. Check the system logs and the response.","The calculation should fail. An error must be logged in the nVEST system specifying 'Missing mandatory data: Age'. The process should flag the application for manual review or error.","Error is logged. UW BI score is not calculated.","Age=null, SA=5000000, Smoker=No, Medical=No, Income=6L, Staff=No"
"2.13","nVEST","Integration with Unified","BRD_nVEST_UW_BI_CALC_v1.2","UW BI score has been successfully calculated in nVEST.","To verify that the calculated UW BI score is correctly pushed to the Unified UW Workbench.","Integration","1. Process a valid proposal in nVEST. 2. Monitor the API call/message queue from nVEST to Unified. 3. Check the payload sent to Unified.","The payload must contain the Application Number and the correctly calculated/rounded 'UW BI Score'.","Data is sent to Unified.","Application Number=AN123, UW BI Score=65.00"
"---","---","---","---","---","---","---","---","---","---","---"
"**3.0**","**Unified**","**UW Workbench**","**BRD_nVEST_UW_BI_CALC_v1.2**","**An underwriter is logged into the Unified UW Workbench. A case is available for underwriting.**","**To verify the display of the new 'UW BI Score' field.**","**UI**","**1. Open a case in the UW Workbench that has been processed by nVEST. 2. Look for the 'UW BI Score' field on the case summary/details screen.**","**A new field/widget labeled 'UW BI Score' must be visible to the underwriter.**","**Field is visible.**","**N/A**"
"3.1","Unified","UW Workbench","BRD_nVEST_UW_BI_CALC_v1.2","Case is open in UW Workbench.","To verify the accuracy of the displayed UW BI score.","Data Validation","1. Note the UW BI score calculated in nVEST for a specific Application Number (from TC 2.0). 2. Open the same application in the Unified UW Workbench. 3. Compare the displayed score with the expected score.","The 'UW BI Score' displayed in Unified must exactly match the score calculated by nVEST, rounded to 2 decimal places. (e.g., 130.00)","Underwriter can see the correct score.","Application Number from TC 2.0"
"3.2","Unified","UW Workbench","BRD_nVEST_UW_BI_CALC_v1.2","A case where nVEST calculation failed is available.","To verify the display when UW BI calculation fails.","Exception Handling","1. Process a case that failed calculation in nVEST (from TC 2.12). 2. Open this case in the Unified UW Workbench. 3. Check the value of the 'UW BI Score' field.","The 'UW BI Score' field should display a pre-defined text like 'Calculation Failed' or 'N/A'. It should not be blank or show 0.","Error state is correctly displayed to the underwriter.","Application Number from TC 2.12"
"---","---","---","---","---","---","---","---","---","---","---"
"**4.0**","**Ingenium (PAS)**","**Policy Data Storage**","**BRD_nVEST_UW_BI_CALC_v1.2**","**A policy has been underwritten, approved, and issued.**","**To verify that the UW BI score is stored in the Policy Admin System after issuance.**","**Data Validation**","**1. Take an application number for a policy that has been issued. 2. Query the relevant policy table in the Ingenium database for this policy number. 3. Check for the column storing the UW BI score.**","**A new column (e.g., 'UW_BI_SCORE') should exist in the policy master table. The value in this column must match the score calculated by nVEST for that policy.**","**Data is persisted for reporting.**","**Policy Number for an issued case from previous tests.**"
"4.1","Ingenium (PAS)","Policy Data Storage","BRD_nVEST_UW_BI_CALC_v1.2","A proposal has been rejected by the underwriter.","To verify that the UW BI score is NOT stored in Ingenium for a rejected case.","Negative / Integration","1. Take an application number for a proposal that was rejected in Unified. 2. Query the policy table in the Ingenium database for this application/policy number.","No policy record should be created in the master table for the rejected application. Therefore, no UW BI score should be stored.","Data integrity is maintained.","Application Number for a rejected case."
"---","---","---","---","---","---","---","---","---","---","---"
"**5.0**","**End-to-End (E2E)**","**New Business Flow**","**BRD_nVEST_UW_BI_CALC_v1.2**","**All systems are up and integrated.**","**E2E Happy Path: To verify the complete flow for a standard, high-value case.**","**E2E / Positive**","**1. In Insure UI, create a new proposal for a high-risk profile (e.g., older age, smoker). 2. Submit the proposal and get the Application Number. 3. In nVEST, verify the UW BI score is calculated and is a high value. 4. In Unified, log in as an underwriter, open the case, and verify the high UW BI score is displayed. 5. Approve and issue the policy. 6. In Ingenium, query the database and verify the same UW BI score is stored against the new Policy Number.**","**The UW BI score should be calculated correctly, flow through all systems seamlessly, be displayed correctly to the underwriter, and be stored accurately in the PAS upon issuance.**","**Policy is issued and all data is consistent across systems.**","**Age=52, SA=7500000, Smoker=Yes, Medical=No, Income=12L, Staff=No**"
"5.1","End-to-End (E2E)","New Business Flow","BRD_nVEST_UW_BI_CALC_v1.2","All systems are up and integrated.","E2E Exception Path: To verify the flow when data is missing from the source.","E2E / Negative","**1. Create a test harness to submit a proposal to nVEST directly, simulating a payload from Insure UI but with 'Sum Assured' as null. 2. In nVEST, verify that an error is logged for the failed calculation. 3. In Unified, log in as an underwriter and open the case. 4. Verify the 'UW BI Score' displays 'Calculation Failed'. 5. The underwriter should still be able to process the case manually (e.g., reject or seek information). Reject the case. 6. In Ingenium, verify no policy record is created.**","**The error is handled gracefully. The underwriter is correctly informed of the calculation failure. Downstream systems are not populated with incomplete/erroneous data.**","**Case is handled correctly despite the calculation error.**","**Payload with SA=null.**"
